model,aggregation,seed,metric,positive_count,zero_count,negative_count,total_count,strict_numeric_tolerance,generation_timestamp_utc,experiment_spec_version,experiment_spec_sha256,model_preregistration_path,model_preregistration_sha256,baseline_prediction_sha256,lightgbm_prediction_sha256,lstm_prediction_sha256,source_tree_sha256,source_revision
lightgbm,single_deterministic_seed,all,mae_skill,12,0,8,20,9.9999999999999998e-13,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
lightgbm,single_deterministic_seed,all,da_difference,14,0,6,20,9.9999999999999998e-13,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
lstm,three_seed_metric_mean,mean,mae_skill,4,0,16,20,9.9999999999999998e-13,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
lstm,three_seed_metric_mean,mean,da_difference,11,0,9,20,9.9999999999999998e-13,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
lstm,individual_seed_descriptive,1729,mae_skill,3,0,17,20,9.9999999999999998e-13,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
lstm,individual_seed_descriptive,1729,da_difference,12,0,8,20,9.9999999999999998e-13,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
lstm,individual_seed_descriptive,2718,mae_skill,8,0,12,20,9.9999999999999998e-13,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
lstm,individual_seed_descriptive,2718,da_difference,12,1,7,20,9.9999999999999998e-13,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
lstm,individual_seed_descriptive,31415,mae_skill,3,0,17,20,9.9999999999999998e-13,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
lstm,individual_seed_descriptive,31415,da_difference,14,0,6,20,9.9999999999999998e-13,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
