fold,model,macro_mae,mae_rank_primary,macro_directional_accuracy,directional_accuracy_rank_secondary,ranking_policy,generation_timestamp_utc,experiment_spec_version,experiment_spec_sha256,model_preregistration_path,model_preregistration_sha256,baseline_prediction_sha256,lightgbm_prediction_sha256,lstm_prediction_sha256,source_tree_sha256,source_revision
D1,baseline,0.020461495963162851,2,0.42588932806324109,3,MAE_primary_DA_separate_secondary_no_synthetic_score,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
D1,lightgbm,0.020333236378522267,1,0.54644268774703564,1,MAE_primary_DA_separate_secondary_no_synthetic_score,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
D1,lstm_seed_mean,0.021667616821852448,3,0.51778656126482214,2,MAE_primary_DA_separate_secondary_no_synthetic_score,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
D2,baseline,0.013673195803575872,1,0.49603174603174605,3,MAE_primary_DA_separate_secondary_no_synthetic_score,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
D2,lightgbm,0.013725742898764191,2,0.52579365079365081,1,MAE_primary_DA_separate_secondary_no_synthetic_score,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
D2,lstm_seed_mean,0.014006119738531215,3,0.51884920634920639,2,MAE_primary_DA_separate_secondary_no_synthetic_score,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
D3,baseline,0.021334487022361494,1,0.52191235059760954,1,MAE_primary_DA_separate_secondary_no_synthetic_score,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
D3,lightgbm,0.021654939710267565,2,0.4711155378486056,3,MAE_primary_DA_separate_secondary_no_synthetic_score,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
D3,lstm_seed_mean,0.022467453746072338,3,0.48738379814077026,2,MAE_primary_DA_separate_secondary_no_synthetic_score,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
D4,baseline,0.014237499877058706,2,0.51900000000000002,3,MAE_primary_DA_separate_secondary_no_synthetic_score,2026-09-14T15:00:42.828778Z,1.1,4a29b96a7c826634d2dede63220c378737c0e545a7e733491a0a7002d69fc5b9,docs/MODEL_PREREGISTRATION.md,be04b9ce8457c5b26a8042f548eccce8ddb4b5d1b86a1404a43ef1bb1a52d613,e09e4909e9af7b7836c5e0b2c8d7b320d2848d5da9b33b8c9492421e0a108bb4,36445836777cba815bc240c0c7229838cdc2177e94f50bac7905b8e2a9ace0c7,f624bc00c41a430c6e79188fe8b10a1bc03714971719789d5162446c70c7df60,fe37172dca930c566701f5a8508952705ecb7895784baaae60fabeda519920e3,not_available_repository_has_no_git_metadata
