model,model_config_id,fold,asset,regime_dimension,stressed_regime_value,reference_regime_value,stressed_n,reference_n,stressed_status,reference_status,contrast_status,headline_reportable,stressed_mae,reference_mae,stressed_rmse,reference_rmse,stressed_directional_accuracy,reference_directional_accuracy,stressed_mae_skill,reference_mae_skill,mae_skill_degradation,mae_raw_degradation,rmse_raw_degradation,da_degradation,directional_stability_loss,lstm_reportable_seed_count,lstm_seed_mae_skill_degradations,lstm_seed_signs,lstm_seed_sign_disagreement
lightgbm,LGBM_01,D1,AAPL,trend,negative_trend,positive_trend,64,189,reportable,reportable,reportable,True,0.028527885427459085,0.017642300909933462,0.041452237227416623,0.023907831953691353,0.46875,0.55555555555555558,-7.280603827664045e-05,0.0045243877858491821,-0.0045971938241258226,0.010885584517525623,0.017544405273725271,-0.08680555555555558,0.08680555555555558,,,,
lightgbm,LGBM_01,D1,AAPL,volatility,high_volatility,low_volatility,220,33,reportable,reportable,reportable,True,0.021081570057765668,0.015825276564435137,0.030292125605946491,0.022105158429583553,0.52727272727272723,0.5757575757575758,0.0023995022943906763,0.0073488151391147838,-0.0049493128447241075,0.0052562934933305314,0.008186967176362938,-0.048484848484848575,0.048484848484848575,,,,
lightgbm,LGBM_01,D1,AAPL,transition,transition,stable,91,162,reportable,reportable,reportable,True,0.027068910409513196,0.016647584518945092,0.038058550532695669,0.02306601365702067,0.47252747252747251,0.5679012345679012,5.2847617130757918e-05,0.0054913917980973226,-0.0054385441809665647,0.010421325890568104,0.014992536875674999,-0.095373762040428689,0.095373762040428689,,,,
lightgbm,LGBM_01,D1,MSFT,trend,negative_trend,positive_trend,64,189,reportable,reportable,reportable,True,0.030126601548763891,0.014710005470494891,0.043151705868190907,0.019634119515260898,0.53125,0.544973544973545,0.0017534227699107507,0.00058505740349201751,0.0011683653664187332,0.015416596078269,0.023517586352930008,-0.013723544973544999,0.013723544973544999,,,,
lightgbm,LGBM_01,D1,MSFT,volatility,high_volatility,low_volatility,220,33,reportable,reportable,reportable,True,0.019573143505550627,0.012187938237069228,0.028875060653778813,0.016145642641129242,0.53181818181818186,0.60606060606060608,-0.0011104739618221782,0.023764350877678586,-0.024874824839500764,0.0073852052684813992,0.012729418012649572,-0.074242424242424221,0.074242424242424221,,,,
lightgbm,LGBM_01,D1,MSFT,transition,transition,stable,91,162,reportable,reportable,reportable,True,0.026582391253483301,0.014131456351712614,0.038393247587572586,0.018904231323920946,0.53846153846153844,0.54320987654320985,0.0090134903987940662,-0.0074759598122811077,0.016489450211075174,0.012450934901770686,0.01948901626365164,-0.0047483380816714105,0.0047483380816714105,,,,
lightgbm,LGBM_01,D1,GOOGL,trend,negative_trend,positive_trend,64,189,reportable,reportable,reportable,True,0.025736183888316732,0.013560522351218761,0.03656137423143109,0.018161720487951265,0.5625,0.51322751322751325,0.018862118701752029,0.0011762633813554579,0.017685855320396571,0.012175661537097971,0.018399653743479825,0.049272486772486745,-0.049272486772486745,,,,
lightgbm,LGBM_01,D1,GOOGL,volatility,high_volatility,low_volatility,220,33,reportable,reportable,reportable,True,0.017271253000159754,0.012435722218105167,0.02514385814578619,0.016334828155409271,0.52727272727272723,0.51515151515151514,0.008780926706425829,0.002487513963142729,0.0062934127432831,0.0048355307820545871,0.0088090299903769188,0.012121212121212088,-0.012121212121212088,,,,
lightgbm,LGBM_01,D1,GOOGL,transition,transition,stable,91,162,reportable,reportable,reportable,True,0.022219716993460942,0.013506544733504143,0.031713150527530494,0.018653996081343535,0.53846153846153844,0.51851851851851849,0.015600911628818492,0.00120451390496501,0.014396397723853482,0.0087131722599567991,0.013059154446186959,0.019943019943019946,-0.019943019943019946,,,,
lightgbm,LGBM_01,D1,NVDA,trend,negative_trend,positive_trend,64,189,reportable,reportable,reportable,True,0.04130542720387579,0.020397673589442503,0.055421625953526135,0.027279149879559372,0.546875,0.59788359788359791,0.00701584629641272,0.014419137159380258,-0.0074032908629675376,0.020907753614433287,0.028142476073966763,-0.051008597883597906,0.051008597883597906,,,,
lightgbm,LGBM_01,D1,NVDA,volatility,high_volatility,low_volatility,220,33,reportable,reportable,reportable,True,0.027121285959666973,0.016121961767453064,0.037952244248819711,0.024828093660606784,0.57727272727272727,0.63636363636363635,0.0097882330592052869,0.029370232807399255,-0.019581999748193968,0.010999324192213909,0.013124150588212927,-0.059090909090909083,0.059090909090909083,,,,
lightgbm,LGBM_01,D1,NVDA,transition,transition,stable,91,162,reportable,reportable,reportable,True,0.037429584967163837,0.019090218626177626,0.050146073568402547,0.025866841367787212,0.59340659340659341,0.58024691358024694,0.012540320853422493,0.010185245271233656,0.0023550755821888369,0.018339366340986211,0.024279232200615335,0.013159679826346471,-0.013159679826346471,,,,
lightgbm,LGBM_02,D2,AAPL,trend,negative_trend,positive_trend,2,250,descriptive_low_n,reportable,descriptive_low_n,False,0.0075124036023625001,0.012246342333264859,0.007516789113905931,0.015937809717635365,0.5,0.52800000000000002,0.17934904849966316,-0.0044522881183071128,0.18380133661797027,-0.0047339387309023586,-0.008421020603729434,-0.028000000000000025,0.028000000000000025,,,,
lightgbm,LGBM_02,D2,AAPL,volatility,high_volatility,low_volatility,144,108,reportable,reportable,reportable,True,0.012638407424019404,0.011635923346871717,0.01638876516357993,0.015196020156829226,0.4861111111111111,0.58333333333333337,-0.019113727721134621,0.018622191883660322,-0.037735919604794943,0.0010024840771476872,0.0011927450067507044,-0.097222222222222265,0.097222222222222265,,,,
lightgbm,LGBM_02,D2,AAPL,transition,transition,stable,52,200,reportable,reportable,reportable,True,0.013208104218981291,0.011948944855669563,0.016796847069283506,0.015643765079045267,0.51923076923076927,0.53000000000000003,0.022804405272279893,-0.011134081582724775,0.033938486855004668,0.0012591593633117289,0.0011530819902382389,-0.010769230769230753,0.010769230769230753,,,,
