model,source_model,model_config_id,seed,fold,asset,regime_dimension,regime_value,n,mae,rmse,directional_accuracy,actual_positive_direction_balance,sample_size_status
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D1,AAPL,trend,negative_trend,64,0.028525808576348,0.041584663977692268,0.375,0.515625,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D1,AAPL,trend,positive_trend,189,0.017722484301441809,0.023972992537468107,0.41269841269841268,0.55026455026455023,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D1,AAPL,volatility,high_volatility,220,0.021132277004924684,0.030375085149832226,0.39545454545454545,0.54545454545454541,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D1,AAPL,volatility,low_volatility,33,0.015942434568949782,0.022232411794621716,0.45454545454545453,0.51515151515151514,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D1,AAPL,transition,transition,91,0.027070341012530624,0.038142587797361675,0.34065934065934067,0.50549450549450547,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D1,AAPL,transition,stable,162,0.016739507714311649,0.02316091490080523,0.43827160493827161,0.56172839506172845,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D1,MSFT,trend,negative_trend,64,0.03017951900457146,0.04366430690604288,0.34375,0.546875,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D1,MSFT,trend,positive_trend,189,0.014718616706167996,0.019517857163665598,0.42857142857142855,0.5714285714285714,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D1,MSFT,volatility,high_volatility,220,0.019551432149232571,0.029001427208013131,0.40909090909090912,0.55909090909090908,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D1,MSFT,volatility,low_volatility,33,0.012484627300823031,0.01649730229962576,0.39393939393939392,0.60606060606060608,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D1,MSFT,transition,transition,91,0.026824170658166297,0.038637384153895837,0.36263736263736263,0.5714285714285714,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D1,MSFT,transition,stable,162,0.014026594097933286,0.018949316045110607,0.43209876543209874,0.56172839506172845,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D1,GOOGL,trend,negative_trend,64,0.026230955280477447,0.036881943589240122,0.359375,0.5625,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D1,GOOGL,trend,positive_trend,189,0.0135764918814662,0.018147188511251543,0.46031746031746029,0.57671957671957674,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D1,GOOGL,volatility,high_volatility,220,0.017424254098311165,0.025247926349670453,0.43181818181818182,0.55454545454545456,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D1,GOOGL,volatility,low_volatility,33,0.012466733391491279,0.016568159815447313,0.45454545454545453,0.69696969696969702,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D1,GOOGL,transition,transition,91,0.022571858564219522,0.031841324748742073,0.36263736263736263,0.56043956043956045,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D1,GOOGL,transition,stable,162,0.013522833174096865,0.018763830375806343,0.47530864197530864,0.58024691358024694,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D1,NVDA,trend,negative_trend,64,0.041597267237162526,0.055668333118698989,0.359375,0.546875,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D1,NVDA,trend,positive_trend,189,0.020696093398823483,0.027405550499422702,0.49206349206349204,0.59788359788359791,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D1,NVDA,volatility,high_volatility,220,0.027389379590445292,0.03813254712749127,0.43636363636363634,0.57727272727272727,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D1,NVDA,volatility,low_volatility,33,0.016609795322972003,0.024853956664696291,0.60606060606060608,0.63636363636363635,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D1,NVDA,transition,transition,91,0.037904924887173876,0.050425099336113256,0.38461538461538464,0.59340659340659341,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D1,NVDA,transition,stable,162,0.019286657968044553,0.025927241134232604,0.5,0.58024691358024694,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D2,AAPL,trend,negative_trend,2,0.009154200806845,0.010385490196201535,0.5,0.5,descriptive_low_n
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D2,AAPL,trend,positive_trend,250,0.012192059770411365,0.015855146386024643,0.5,0.53200000000000003,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D2,AAPL,volatility,high_volatility,144,0.012401370995443715,0.0163624148399657,0.45833333333333331,0.5,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D2,AAPL,volatility,low_volatility,108,0.011856721489561449,0.015064433324795836,0.55555555555555558,0.57407407407407407,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D2,AAPL,transition,transition,52,0.013516336228123826,0.017137923610138047,0.46153846153846156,0.51923076923076927,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D2,AAPL,transition,stable,200,0.011817369301770464,0.015457893680757118,0.51000000000000001,0.53500000000000003,reportable
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D2,MSFT,trend,negative_trend,2,0.015701864376864352,0.016217917312967244,0,1,descriptive_low_n
persistence_baseline,zero_return__direction_persistence,zero_return__direction_persistence_v1,not_applicable,D2,MSFT,trend,positive_trend,250,0.010087321850274984,0.013294621156611772,0.5,0.52400000000000002,reportable
