fold,regime_dimension,regime_value,availability_status,count
D1,trend,negative_trend,available,64
D1,trend,positive_trend,available,189
D1,trend,unavailable,unavailable,0
D1,volatility,high_volatility,available,220
D1,volatility,low_volatility,available,33
D1,volatility,unavailable,unavailable,0
D1,transition,transition,available,91
D1,transition,stable,available,162
D1,transition,unavailable,unavailable,0
D2,trend,negative_trend,available,2
D2,trend,positive_trend,available,250
D2,trend,unavailable,unavailable,0
D2,volatility,high_volatility,available,144
D2,volatility,low_volatility,available,108
D2,volatility,unavailable,unavailable,0
D2,transition,transition,available,52
D2,transition,stable,available,200
D2,transition,unavailable,unavailable,0
D3,trend,negative_trend,available,196
D3,trend,positive_trend,available,55
D3,trend,unavailable,unavailable,0
D3,volatility,high_volatility,available,251
D3,volatility,low_volatility,available,0
D3,volatility,unavailable,unavailable,0
D3,transition,transition,available,57
D3,transition,stable,available,194
D3,transition,unavailable,unavailable,0
D4,trend,negative_trend,available,53
D4,trend,positive_trend,available,197
D4,trend,unavailable,unavailable,0
D4,volatility,high_volatility,available,135
D4,volatility,low_volatility,available,115
D4,volatility,unavailable,unavailable,0
D4,transition,transition,available,3
D4,transition,stable,available,247
D4,transition,unavailable,unavailable,0
D5,trend,negative_trend,available,0
D5,trend,positive_trend,available,252
D5,trend,unavailable,unavailable,0
D5,volatility,high_volatility,available,93
D5,volatility,low_volatility,available,159
D5,volatility,unavailable,unavailable,0
D5,transition,transition,available,35
D5,transition,stable,available,217
D5,transition,unavailable,unavailable,0
