model,fold,asset,regime_dimension,mae_skill_degradation,da_degradation,mae_skill_worse_in_stressed_regime,directional_accuracy_worse_in_stressed_regime,is_disagreement,disagreement_type,sign_tolerance
lightgbm,D1,AAPL,trend,-0.0045971938241258226,-0.08680555555555558,True,True,False,no_disagreement,9.9999999999999998e-13
lightgbm,D1,AAPL,volatility,-0.0049493128447241075,-0.048484848484848575,True,True,False,no_disagreement,9.9999999999999998e-13
lightgbm,D1,AAPL,transition,-0.0054385441809665647,-0.095373762040428689,True,True,False,no_disagreement,9.9999999999999998e-13
lightgbm,D1,MSFT,trend,0.0011683653664187332,-0.013723544973544999,False,True,True,direction_worse_mae_skill_not_worse,9.9999999999999998e-13
lightgbm,D1,MSFT,volatility,-0.024874824839500764,-0.074242424242424221,True,True,False,no_disagreement,9.9999999999999998e-13
lightgbm,D1,MSFT,transition,0.016489450211075174,-0.0047483380816714105,False,True,True,direction_worse_mae_skill_not_worse,9.9999999999999998e-13
lightgbm,D1,GOOGL,trend,0.017685855320396571,0.049272486772486745,False,False,False,no_disagreement,9.9999999999999998e-13
lightgbm,D1,GOOGL,volatility,0.0062934127432831,0.012121212121212088,False,False,False,no_disagreement,9.9999999999999998e-13
lightgbm,D1,GOOGL,transition,0.014396397723853482,0.019943019943019946,False,False,False,no_disagreement,9.9999999999999998e-13
lightgbm,D1,NVDA,trend,-0.0074032908629675376,-0.051008597883597906,True,True,False,no_disagreement,9.9999999999999998e-13
lightgbm,D1,NVDA,volatility,-0.019581999748193968,-0.059090909090909083,True,True,False,no_disagreement,9.9999999999999998e-13
lightgbm,D1,NVDA,transition,0.0023550755821888369,0.013159679826346471,False,False,False,no_disagreement,9.9999999999999998e-13
lightgbm,D2,AAPL,volatility,-0.037735919604794943,-0.097222222222222265,True,True,False,no_disagreement,9.9999999999999998e-13
lightgbm,D2,AAPL,transition,0.033938486855004668,-0.010769230769230753,False,True,True,direction_worse_mae_skill_not_worse,9.9999999999999998e-13
lightgbm,D2,MSFT,volatility,0.028174770022648565,0.01388888888888884,False,False,False,no_disagreement,9.9999999999999998e-13
lightgbm,D2,MSFT,transition,0.061291102722996427,0.13538461538461544,False,False,False,no_disagreement,9.9999999999999998e-13
lightgbm,D2,GOOGL,volatility,0.014616668979829162,0.04398148148148151,False,False,False,no_disagreement,9.9999999999999998e-13
lightgbm,D2,GOOGL,transition,0.017058275769921027,0.055384615384615365,False,False,False,no_disagreement,9.9999999999999998e-13
lightgbm,D2,NVDA,volatility,0.049624421912930594,0.10648148148148145,False,False,False,no_disagreement,9.9999999999999998e-13
lightgbm,D2,NVDA,transition,0.0059800682527375582,-0.019230769230769218,False,True,True,direction_worse_mae_skill_not_worse,9.9999999999999998e-13
lightgbm,D3,AAPL,trend,0.055741751223336466,0.068738404452690138,False,False,False,no_disagreement,9.9999999999999998e-13
lightgbm,D3,AAPL,transition,-0.02695959629578204,0.024235847350334627,True,False,True,mae_skill_worse_direction_not_worse,9.9999999999999998e-13
lightgbm,D3,MSFT,trend,0.037063020107508615,0.12615955473098328,False,False,False,no_disagreement,9.9999999999999998e-13
lightgbm,D3,MSFT,transition,0.0033997470364064419,0.037619822752758159,False,False,False,no_disagreement,9.9999999999999998e-13
lightgbm,D3,GOOGL,trend,0.041444714532776761,0.10575139146567719,False,False,False,no_disagreement,9.9999999999999998e-13
lightgbm,D3,GOOGL,transition,0.0032928626290602558,0.012841381805028029,False,False,False,no_disagreement,9.9999999999999998e-13
lightgbm,D3,NVDA,trend,0.019035849143529515,0.086920222634508326,False,False,False,no_disagreement,9.9999999999999998e-13
lightgbm,D3,NVDA,transition,0.011180000120790456,0.074787484174353436,False,False,False,no_disagreement,9.9999999999999998e-13
lightgbm,D4,AAPL,trend,0.011635603746028789,0.079494301312134863,False,False,False,no_disagreement,9.9999999999999998e-13
lightgbm,D4,AAPL,volatility,0.010006805765596205,0.070853462157809965,False,False,False,no_disagreement,9.9999999999999998e-13
lightgbm,D4,MSFT,trend,0.028181891957309801,0.16147878555693895,False,False,False,no_disagreement,9.9999999999999998e-13
lightgbm,D4,MSFT,volatility,0.0031784340643654652,0.0077294685990338952,False,False,False,no_disagreement,9.9999999999999998e-13
lightgbm,D4,GOOGL,trend,0.020509324751590841,0.099798869840053595,False,False,False,no_disagreement,9.9999999999999998e-13
lightgbm,D4,GOOGL,volatility,0.012617064299885961,0.057326892109500815,False,False,False,no_disagreement,9.9999999999999998e-13
lightgbm,D4,NVDA,trend,0.037470690010607988,0.11866679436835548,False,False,False,no_disagreement,9.9999999999999998e-13
lightgbm,D4,NVDA,volatility,0.01662301223775009,0.064734299516908123,False,False,False,no_disagreement,9.9999999999999998e-13
lightgbm,D5,AAPL,volatility,0.011721565342196705,0.044228038141610915,False,False,False,no_disagreement,9.9999999999999998e-13
lightgbm,D5,AAPL,transition,0.036016416007628171,0.17511520737327191,False,False,False,no_disagreement,9.9999999999999998e-13
lightgbm,D5,MSFT,volatility,-0.0020711603542207246,-0.1125989044430919,True,True,False,no_disagreement,9.9999999999999998e-13
lightgbm,D5,MSFT,transition,-0.010695380989975467,-0.12995391705069126,True,True,False,no_disagreement,9.9999999999999998e-13
lightgbm,D5,GOOGL,volatility,-0.0053865480361343643,-0.02130249543517948,True,True,False,no_disagreement,9.9999999999999998e-13
lightgbm,D5,GOOGL,transition,-0.01885722435029058,-0.080184331797235053,True,True,False,no_disagreement,9.9999999999999998e-13
lightgbm,D5,NVDA,volatility,-0.0039992330666381859,-0.045445323595049714,True,True,False,no_disagreement,9.9999999999999998e-13
lightgbm,D5,NVDA,transition,0.015428396724576854,0.051612903225806472,False,False,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D1,AAPL,trend,-0.026827073381036473,0.042465828924162285,True,False,True,mae_skill_worse_direction_not_worse,9.9999999999999998e-13
lstm_seed_mean,D1,AAPL,volatility,-0.024159795988994093,0.023232323232323215,True,False,True,mae_skill_worse_direction_not_worse,9.9999999999999998e-13
lstm_seed_mean,D1,AAPL,transition,-0.031032359891294936,-0.026522859856193182,True,True,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D1,MSFT,trend,-0.0040942429245033052,0.058421516754850022,True,False,True,mae_skill_worse_direction_not_worse,9.9999999999999998e-13
lstm_seed_mean,D1,MSFT,volatility,-0.087688184909344033,0.0035353535353535026,True,False,True,mae_skill_worse_direction_not_worse,9.9999999999999998e-13
lstm_seed_mean,D1,MSFT,transition,0.023247305722479572,-0.039818206484873053,False,True,True,direction_worse_mae_skill_not_worse,9.9999999999999998e-13
lstm_seed_mean,D1,GOOGL,trend,0.031531608208174577,0.040784832451499109,False,False,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D1,GOOGL,volatility,-0.081282257438658287,-0.074242424242424332,True,True,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D1,GOOGL,transition,-0.016960488327062581,-0.020350020350020315,True,True,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D1,NVDA,trend,0.093601877113360016,0.048941798941798953,False,False,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D1,NVDA,volatility,0.024003334721677889,0.047979797979798011,False,False,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D1,NVDA,transition,0.10772950499647638,0.072830461719350592,False,False,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D2,AAPL,volatility,-0.031316659688247969,-0.070216049382715973,True,True,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D2,AAPL,transition,0.067231852366232081,0.017948717948717996,False,False,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D2,MSFT,volatility,0.07193784173934703,0.040123456790123468,False,False,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D2,MSFT,transition,0.19034679449281849,0.14461538461538459,False,False,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D2,GOOGL,volatility,0.018257644187702187,0.0054012345679013141,False,False,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D2,GOOGL,transition,0.032493477794980796,0.034102564102564181,False,False,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D2,NVDA,volatility,0.0079580642294168023,0.021604938271604923,False,False,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D2,NVDA,transition,0.021794941652954813,0.0071794871794872428,False,False,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D3,AAPL,trend,0.035777759011603287,0.05173160173160174,False,False,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D3,AAPL,transition,-0.039458559241066185,0.0035871465605594732,True,False,True,mae_skill_worse_direction_not_worse,9.9999999999999998e-13
lstm_seed_mean,D3,MSFT,trend,0.18405833497976937,0.044495980210265962,False,False,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D3,MSFT,transition,-0.08204955071606472,-0.028034002532103475,True,True,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D3,GOOGL,trend,0.062142797114951812,0.048113790970933878,False,False,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D3,GOOGL,transition,-0.051512465755869499,0.0066919877012117102,True,False,True,mae_skill_worse_direction_not_worse,9.9999999999999998e-13
lstm_seed_mean,D3,NVDA,trend,0.0091054427913876967,-0.0071737786023499117,False,True,True,direction_worse_mae_skill_not_worse,9.9999999999999998e-13
lstm_seed_mean,D3,NVDA,transition,-0.056377859050630308,-0.038011695906432774,True,True,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D4,AAPL,trend,0.058483965243447164,0.10921686939309772,False,False,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D4,AAPL,volatility,-0.011922393350109067,-0.006548577563070368,True,True,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D4,MSFT,trend,0.023764401585218829,0.030137598569741075,False,False,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D4,MSFT,volatility,-0.034947266856667124,-0.11315083199141168,True,True,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D4,GOOGL,trend,0.028056176897804819,0.03837435750087792,False,False,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D4,GOOGL,volatility,-0.021579082603102779,0.0019323671497585293,True,False,True,mae_skill_worse_direction_not_worse,9.9999999999999998e-13
lstm_seed_mean,D4,NVDA,trend,0.058276100042685276,0.061775691983526448,False,False,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D4,NVDA,volatility,0.016286741826149795,-0.019860440150295255,False,True,True,direction_worse_mae_skill_not_worse,9.9999999999999998e-13
lstm_seed_mean,D5,AAPL,volatility,-0.046190122971451496,-0.029147223912896425,True,True,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D5,AAPL,transition,-0.10788267519316593,-0.12565284178187408,True,True,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D5,MSFT,volatility,0.015988522917499415,0.0085209981740718699,False,False,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D5,MSFT,transition,-0.0081948139055058392,-0.094009216589861777,True,True,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D5,GOOGL,volatility,0.0029001265999103096,0.0060864272671942166,False,False,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D5,GOOGL,transition,0.024540998378782541,0.03133640552995387,False,False,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D5,NVDA,volatility,-0.0033135029767360122,-0.010144045445323546,True,True,False,no_disagreement,9.9999999999999998e-13
lstm_seed_mean,D5,NVDA,transition,0.026849866789729487,0.082949308755760343,False,False,False,no_disagreement,9.9999999999999998e-13
