model,model_config_id,seed,fold,asset,regime_dimension,regime_value,n,mae,rmse,directional_accuracy,actual_positive_direction_balance,sample_size_status,matched_baseline_mae,mae_skill,matched_direction_persistence_da,da_difference
lightgbm,LGBM_01,1729,D1,AAPL,trend,negative_trend,64,0.028527885427459085,0.041452237227416623,0.46875,0.515625,reportable,0.028525808576348,-7.280603827664045e-05,0.375,0.09375
lightgbm,LGBM_01,1729,D1,AAPL,trend,positive_trend,189,0.017642300909933462,0.023907831953691353,0.55555555555555558,0.55026455026455023,reportable,0.017722484301441809,0.0045243877858491821,0.41269841269841268,0.1428571428571429
lightgbm,LGBM_01,1729,D1,AAPL,volatility,high_volatility,220,0.021081570057765668,0.030292125605946491,0.52727272727272723,0.54545454545454541,reportable,0.021132277004924684,0.0023995022943906763,0.39545454545454545,0.13181818181818178
lightgbm,LGBM_01,1729,D1,AAPL,volatility,low_volatility,33,0.015825276564435137,0.022105158429583553,0.5757575757575758,0.51515151515151514,reportable,0.015942434568949782,0.0073488151391147838,0.45454545454545453,0.12121212121212127
lightgbm,LGBM_01,1729,D1,AAPL,transition,transition,91,0.027068910409513196,0.038058550532695669,0.47252747252747251,0.50549450549450547,reportable,0.027070341012530624,5.2847617130757918e-05,0.34065934065934067,0.13186813186813184
lightgbm,LGBM_01,1729,D1,AAPL,transition,stable,162,0.016647584518945092,0.02306601365702067,0.5679012345679012,0.56172839506172845,reportable,0.016739507714311649,0.0054913917980973226,0.43827160493827161,0.12962962962962959
lightgbm,LGBM_01,1729,D1,MSFT,trend,negative_trend,64,0.030126601548763891,0.043151705868190907,0.53125,0.546875,reportable,0.03017951900457146,0.0017534227699107507,0.34375,0.1875
lightgbm,LGBM_01,1729,D1,MSFT,trend,positive_trend,189,0.014710005470494891,0.019634119515260898,0.544973544973545,0.5714285714285714,reportable,0.014718616706167996,0.00058505740349201751,0.42857142857142855,0.11640211640211645
lightgbm,LGBM_01,1729,D1,MSFT,volatility,high_volatility,220,0.019573143505550627,0.028875060653778813,0.53181818181818186,0.55909090909090908,reportable,0.019551432149232571,-0.0011104739618221782,0.40909090909090912,0.12272727272727274
lightgbm,LGBM_01,1729,D1,MSFT,volatility,low_volatility,33,0.012187938237069228,0.016145642641129242,0.60606060606060608,0.60606060606060608,reportable,0.012484627300823031,0.023764350877678586,0.39393939393939392,0.21212121212121215
lightgbm,LGBM_01,1729,D1,MSFT,transition,transition,91,0.026582391253483301,0.038393247587572586,0.53846153846153844,0.5714285714285714,reportable,0.026824170658166297,0.0090134903987940662,0.36263736263736263,0.17582417582417581
lightgbm,LGBM_01,1729,D1,MSFT,transition,stable,162,0.014131456351712614,0.018904231323920946,0.54320987654320985,0.56172839506172845,reportable,0.014026594097933286,-0.0074759598122811077,0.43209876543209874,0.1111111111111111
lightgbm,LGBM_01,1729,D1,GOOGL,trend,negative_trend,64,0.025736183888316732,0.03656137423143109,0.5625,0.5625,reportable,0.026230955280477447,0.018862118701752029,0.359375,0.203125
