model,model_config_id,seed,fold,asset,regime_dimension,regime_value,n,mae,rmse,directional_accuracy,actual_positive_direction_balance,sample_size_status,matched_baseline_mae,mae_skill,matched_direction_persistence_da,da_difference
lstm,LSTM_63,1729,D1,AAPL,trend,negative_trend,64,0.030413750931364815,0.043885315770543012,0.53125,0.515625,reportable,0.028525808576348,-0.06618365786069913,0.375,0.15625
lstm,LSTM_63,1729,D1,AAPL,trend,positive_trend,189,0.017491603219402404,0.023830008117679942,0.50793650793650791,0.55026455026455023,reportable,0.017722484301441809,0.013027580000204764,0.41269841269841268,0.095238095238095233
lstm,LSTM_63,1729,D1,AAPL,volatility,high_volatility,220,0.021425032474981228,0.031165709116168491,0.53181818181818186,0.54545454545454541,reportable,0.021132277004924684,-0.013853474946799116,0.39545454545454545,0.13636363636363641
lstm,LSTM_63,1729,D1,AAPL,volatility,low_volatility,33,0.016329876472076732,0.022630043026045408,0.39393939393939392,0.51515151515151514,reportable,0.015942434568949782,-0.024302555638619383,0.45454545454545453,-0.060606060606060608
lstm,LSTM_63,1729,D1,AAPL,transition,transition,91,0.028007743156145567,0.039426552046176469,0.49450549450549453,0.50549450549450547,reportable,0.027070341012530624,-0.034628383261999796,0.34065934065934067,0.15384615384615385
lstm,LSTM_63,1729,D1,AAPL,transition,stable,162,0.01668943482015528,0.023456159767885273,0.52469135802469136,0.56172839506172845,reportable,0.016739507714311649,0.0029913002825978641,0.43827160493827161,0.086419753086419748
lstm,LSTM_63,2718,D1,AAPL,trend,negative_trend,64,0.029875131549809912,0.042667558047003028,0.546875,0.515625,reportable,0.028525808576348,-0.04730183089641482,0.375,0.171875
lstm,LSTM_63,2718,D1,AAPL,trend,positive_trend,189,0.018258328379186537,0.024916133569795877,0.50793650793650791,0.55026455026455023,reportable,0.017722484301441809,-0.030235268861326325,0.41269841269841268,0.095238095238095233
lstm,LSTM_63,2718,D1,AAPL,volatility,high_volatility,220,0.022054141497487956,0.031451318659087103,0.51363636363636367,0.54545454545454541,reportable,0.021132277004924684,-0.043623528706747461,0.39545454545454545,0.11818181818181822
lstm,LSTM_63,2718,D1,AAPL,volatility,low_volatility,33,0.015482465254749686,0.022174450363368833,0.54545454545454541,0.51515151515151514,reportable,0.015942434568949782,0.028851886593027176,0.45454545454545453,0.090909090909090884
lstm,LSTM_63,2718,D1,AAPL,transition,transition,91,0.028600236860353394,0.039301288531020662,0.50549450549450547,0.50549450549450547,reportable,0.027070341012530624,-0.05651557352434522,0.34065934065934067,0.1648351648351648
lstm,LSTM_63,2718,D1,AAPL,transition,stable,162,0.017038339065197108,0.023997080288349265,0.52469135802469136,0.56172839506172845,reportable,0.016739507714311649,-0.017851860161333777,0.43827160493827161,0.086419753086419748
lstm,LSTM_63,31415,D1,AAPL,trend,negative_trend,64,0.028740898493602923,0.041709077967996534,0.5625,0.515625,reportable,0.028525808576348,-0.00754018651843813,0.375,0.1875
lstm,LSTM_63,31415,D1,AAPL,trend,positive_trend,189,0.018136069775331713,0.024358536784327544,0.49735449735449733,0.55026455026455023,reportable,0.017722484301441809,-0.023336766271321085,0.41269841269841268,0.084656084656084651
lstm,LSTM_63,31415,D1,AAPL,volatility,high_volatility,220,0.021530131320220306,0.030716980699065075,0.50909090909090904,0.54545454545454541,reportable,0.021132277004924684,-0.018826855014388855,0.39545454545454545,0.11363636363636359
lstm,LSTM_63,31415,D1,AAPL,volatility,low_volatility,33,0.016075933353933737,0.021951132030713749,0.54545454545454541,0.51515151515151514,reportable,0.015942434568949782,-0.0083738016553609462,0.45454545454545453,0.090909090909090884
lstm,LSTM_63,31415,D1,AAPL,transition,transition,91,0.027789723735247143,0.038483217009507693,0.49450549450549453,0.50549450549450547,reportable,0.027070341012530624,-0.026574571867547636,0.34065934065934067,0.15384615384615385
lstm,LSTM_63,31415,D1,AAPL,transition,stable,162,0.016902900192720931,0.023400852577111966,0.52469135802469136,0.56172839506172845,reportable,0.016739507714311649,-0.0097608891012719301,0.43827160493827161,0.086419753086419748
lstm,LSTM_63,1729,D1,MSFT,trend,negative_trend,64,0.03196333095894708,0.04314211060932268,0.625,0.546875,reportable,0.03017951900457146,-0.059106705912225221,0.34375,0.28125
lstm,LSTM_63,1729,D1,MSFT,trend,positive_trend,189,0.016032121998496594,0.020711147471298159,0.50793650793650791,0.5714285714285714,reportable,0.014718616706167996,-0.089241082810326944,0.42857142857142855,0.079365079365079361
lstm,LSTM_63,1729,D1,MSFT,volatility,high_volatility,220,0.021290529885700533,0.0295226496089721,0.52272727272727271,0.55909090909090908,reportable,0.019551432149232571,-0.088949889869639254,0.40909090909090912,0.11363636363636359
