model,fold,regime_dimension,stressed_regime_value,reference_regime_value,stressed_macro_status,reference_macro_status,contrast_status,headline_reportable,mae_skill_degradation,mae_raw_degradation,rmse_raw_degradation,da_degradation,directional_stability_loss,lstm_seed_signs,lstm_seed_sign_disagreement
lightgbm,D1,trend,negative_trend,positive_trend,reportable,reportable,reportable,True,0.001713433999930486,0.01484639893683147,0.021901030361025468,-0.025566302910052907,0.025566302910052907,,
lightgbm,D1,volatility,high_volatility,low_volatility,reportable,reportable,reportable,True,-0.010778181172283935,0.0071190884340201054,0.010712391441900591,-0.042424242424242475,0.042424242424242475,,
lightgbm,D1,transition,transition,stable,reportable,reportable,reportable,True,0.0069505948340377322,0.01248119984832045,0.017954984946532235,-0.016754850088183448,0.016754850088183448,,
lightgbm,D2,trend,negative_trend,positive_trend,unavailable_incomplete_assets,reportable,unavailable_incomplete_assets,False,,,,,,,
lightgbm,D2,volatility,high_volatility,low_volatility,reportable,reportable,reportable,True,0.013669985327653345,0.00099791474246568174,0.0012400525597805467,0.016782407407407329,-0.016782407407407329,,
lightgbm,D2,transition,transition,stable,reportable,reportable,reportable,True,0.02956698340016492,0.0017205199135896,0.0019961713511413536,0.040192307692307638,-0.040192307692307638,,
lightgbm,D3,trend,negative_trend,positive_trend,reportable,reportable,reportable,True,0.038321333751787839,0.0038686713614167929,0.003762600998051209,0.09689239332096472,-0.09689239332096472,,
lightgbm,D3,volatility,high_volatility,low_volatility,reportable,unavailable_incomplete_assets,unavailable_incomplete_assets,False,,,,,,,
lightgbm,D3,transition,transition,stable,reportable,reportable,reportable,True,-0.0022717466273812215,0.00046203836409268451,0.00027568979173979782,0.037371134020618535,-0.037371134020618535,,
lightgbm,D4,trend,negative_trend,positive_trend,reportable,reportable,reportable,True,0.024449377616384355,-0.000494226909425452,-0.0016529291254613471,0.11485968776937072,-0.11485968776937072,,
lightgbm,D4,volatility,high_volatility,low_volatility,reportable,reportable,reportable,True,0.01060632909189943,0.0029874918795321139,0.0046571802739912051,0.050161030595813116,-0.050161030595813116,,
lightgbm,D4,transition,transition,stable,unavailable_incomplete_assets,reportable,unavailable_incomplete_assets,False,,,,,,,
lightgbm,D5,trend,negative_trend,positive_trend,unavailable_incomplete_assets,reportable,unavailable_incomplete_assets,False,,,,,,,
lightgbm,D5,volatility,high_volatility,low_volatility,reportable,reportable,reportable,True,6.6155971300857486e-05,-4.4520522954599046e-05,-0.00064273597951024913,-0.033779671332927586,0.033779671332927586,,
lightgbm,D5,transition,transition,stable,reportable,reportable,reportable,True,0.0054730518479847445,0.0011016592399284847,0.0017180268561313924,0.0041474654377879894,-0.0041474654377879894,,
lstm_seed_mean,D1,trend,negative_trend,positive_trend,reportable,reportable,reportable,True,0.023553042253998714,0.015144757119964072,0.022613660335439212,0.047653494268077523,-0.047653494268077523,positive|positive|positive,False
lstm_seed_mean,D1,volatility,high_volatility,low_volatility,reportable,reportable,reportable,True,-0.042281725903829628,0.007954373767974773,0.012030377531792737,0.00012626262626269646,-0.00012626262626269646,negative|negative|negative,False
lstm_seed_mean,D1,transition,transition,stable,reportable,reportable,reportable,True,0.020745990625149605,0.012827405557601559,0.01817006538350641,-0.0034651562429340865,0.0034651562429340865,positive|positive|negative,True
lstm_seed_mean,D2,trend,negative_trend,positive_trend,unavailable_incomplete_assets,reportable,unavailable_incomplete_assets,False,,,,,,,False
lstm_seed_mean,D2,volatility,high_volatility,low_volatility,reportable,reportable,reportable,True,0.016709222617054511,0.0011064176802423054,0.0012127992062011053,-0.00077160493827144183,0.00077160493827144183,positive|positive|positive,False
lstm_seed_mean,D2,transition,transition,stable,reportable,reportable,reportable,True,0.07796676657674656,0.0011562375134140587,0.0015532777601762471,0.050961538461538614,-0.050961538461538614,positive|positive|positive,False
lstm_seed_mean,D3,trend,negative_trend,positive_trend,reportable,reportable,reportable,True,0.072771083474428039,0.0036270197725869757,0.0036078543840745436,0.034291898577612834,-0.034291898577612834,positive|positive|positive,False
lstm_seed_mean,D3,volatility,high_volatility,low_volatility,reportable,unavailable_incomplete_assets,unavailable_incomplete_assets,False,,,,,,,False
lstm_seed_mean,D3,transition,transition,stable,reportable,reportable,reportable,True,-0.057349608690907682,0.0017261541428962024,0.0016904800879000946,-0.013941641044191266,0.013941641044191266,negative|negative|negative,False
lstm_seed_mean,D4,trend,negative_trend,positive_trend,reportable,reportable,reportable,True,0.042145160942289019,-0.00074419814620154713,-0.0017833717166724598,0.059876129361810859,-0.059876129361810859,positive|positive|positive,False
lstm_seed_mean,D4,volatility,high_volatility,low_volatility,reportable,reportable,reportable,True,-0.013040500245932294,0.0033776379303917439,0.005076318590891693,-0.034406870638754694,0.034406870638754694,negative|negative|negative,False
lstm_seed_mean,D4,transition,transition,stable,unavailable_incomplete_assets,reportable,unavailable_incomplete_assets,False,,,,,,,False
lstm_seed_mean,D5,trend,negative_trend,positive_trend,unavailable_incomplete_assets,reportable,unavailable_incomplete_assets,False,,,,,,,False
lstm_seed_mean,D5,volatility,high_volatility,low_volatility,reportable,reportable,reportable,True,-0.0076537441076944476,2.25044865637819e-05,-0.00066238213890798189,-0.0061709609792385267,0.0061709609792385267,positive|negative|negative,True
lstm_seed_mean,D5,transition,transition,stable,reportable,reportable,reportable,True,-0.016171655982539938,0.0011938919905534803,0.0016005375263672544,-0.026344086021505397,0.026344086021505397,positive|negative|negative,True
