model,aggregation,seed,fold,regime_dimension,regime_value,n_assets_required,n_assets_reportable,n_per_asset_min,n_per_asset_max,macro_status,macro_weighting,mae_skill_aggregation,mae,rmse,directional_accuracy,actual_positive_direction_balance,matched_baseline_mae,mae_skill,matched_direction_persistence_da,da_difference,mae_seed_std,mae_seed_min,mae_seed_max,rmse_seed_std,rmse_seed_min,rmse_seed_max,directional_accuracy_seed_std,directional_accuracy_seed_min,directional_accuracy_seed_max,actual_positive_direction_balance_seed_std,actual_positive_direction_balance_seed_min,actual_positive_direction_balance_seed_max,matched_baseline_mae_seed_std,matched_baseline_mae_seed_min,matched_baseline_mae_seed_max,mae_skill_seed_std,mae_skill_seed_min,mae_skill_seed_max,matched_direction_persistence_da_seed_std,matched_direction_persistence_da_seed_min,matched_direction_persistence_da_seed_max,da_difference_seed_std,da_difference_seed_min,da_difference_seed_max
persistence_baseline,deterministic,not_applicable,D1,trend,negative_trend,4,4,64,64,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.031633387524639858,0.044449811897918565,0.359375,0.54296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
persistence_baseline,deterministic,not_applicable,D1,trend,positive_trend,4,4,189,189,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.016678421571974873,0.022260897177951988,0.44841269841269837,0.57407407407407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
persistence_baseline,deterministic,not_applicable,D1,volatility,high_volatility,4,4,220,220,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.021374335710728429,0.030689246458751769,0.41818181818181815,0.55909090909090908,,,,,,,,,,,,,,,,,,,,,,,,,,,,
persistence_baseline,deterministic,not_applicable,D1,volatility,low_volatility,4,4,33,33,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.014375897646059024,0.020037957643597771,0.47727272727272729,0.61363636363636365,,,,,,,,,,,,,,,,,,,,,,,,,,,,
persistence_baseline,deterministic,not_applicable,D1,transition,transition,4,4,91,91,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.02859282378052258,0.03976159900902821,0.36263736263736263,0.55769230769230771,,,,,,,,,,,,,,,,,,,,,,,,,,,,
persistence_baseline,deterministic,not_applicable,D1,transition,stable,4,4,162,162,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.01589389823859659,0.021700325613988696,0.46141975308641975,0.57098765432098764,,,,,,,,,,,,,,,,,,,,,,,,,,,,
persistence_baseline,deterministic,not_applicable,D2,trend,negative_trend,4,0,2,2,unavailable_incomplete_assets,equal_asset_weight,arithmetic_mean_of_asset_level_skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
persistence_baseline,deterministic,not_applicable,D2,trend,positive_trend,4,4,250,250,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.013658399305279375,0.018199363835785728,0.499,0.53900000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
persistence_baseline,deterministic,not_applicable,D2,volatility,high_volatility,4,4,144,144,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.014207849961336871,0.018888137844795455,0.47743055555555552,0.546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
persistence_baseline,deterministic,not_applicable,D2,volatility,low_volatility,4,4,108,108,reportable,equal_asset_weight,arithmetic_mean_of_asset_level_skills,0.012960323593227865,0.017214973824927229,0.52083333333333337,0.53472222222222232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
